Trial Number,Hour 0.5 Male Means,Hour 0.5 Female Means,Hour 1 Male Means,Hour 1 Female Means,Hour 1.5 Male Means,Hour 1.5 Female Means,Hour 2 Male Means,Hour 2 Female Means,Hour 2.5 Male Means,Hour 2.5 Female Means,Hour 3 Male Means,Hour 3 Female Means
1,4,4,3.4,2,3.2,2.6,3,2.6,3.8,1.6,2.2,1.2
2,2.6,4,3.2,2.8,3.2,3.2,3.2,2.4,3.2,1.4,3,1
3,3.4,3.6,3.2,3,3,3.2,3.2,2.4,3.2,2,2.6,1.2
4,3.4,2.8,3.2,3,3.4,2.8,3.2,2.6,2.2,1.2,2.6,1.2
5,4,3.4,,2.6,3.8,3,3.4,2,3.4,,2.2,1
6,4,3.2,3.2,2.4,3.4,1.8,3.2,2.8,3.2,1.4,2.8,
7,3.2,3.8,3,3.4,3,3.6,3.2,2.4,2.6,2,2.4,1
8,4,3.4,3.2,3.4,3,2.8,3.6,2.8,2.8,1.2,2.2,1
9,3.6,3.8,3.6,1.8,3.4,3.6,3,2,3.4,1.8,1.8,1
10,3.4,3.4,3.6,2.6,2.6,3,3.8,2.2,2.4,1,2.4,1
11,3,3.8,3.2,3.4,3,3.2,3.4,2,2.8,1.2,2,1
12,3.8,3,3.2,2.4,3.2,2.6,3,2.8,2.6,1,2.2,1.2
13,3.4,3.8,3,3,3.2,2.8,3.2,1.8,3.2,1.2,2.4,1
14,3.8,3,3.2,2.4,3.2,2.8,3.2,2.4,2.2,1.2,2.6,1
15,2.8,2.2,3.2,3.4,2.8,3,2.8,1.8,2.4,1,2,1
16,2.8,3.6,3,2.4,3.2,3,2.8,1.4,2.8,1.4,1.8,1
17,3.4,3.8,2.4,2.6,3.4,3.2,2.8,1.4,3,1.2,1.6,1
18,3.8,2.8,3.6,2.4,3.6,3,2.8,1.8,2.4,1.2,2.2,1
19,4,3.4,3.2,3,2.8,3,2.8,1.8,3.4,1.2,2.4,1
20,3.6,3.4,3.2,3,3,2.6,3,2,2.6,1.6,3.2,1
21,2.8,2.6,3.6,3.8,2.8,2.8,2.6,2.4,2.6,1,2.2,1
22,3,2.2,3.2,3.4,3.4,3.4,2.2,1.6,2.4,1.2,2,1
23,4,2.8,2.8,3.4,3.2,3.2,3,1.8,2.8,1,2.4,1
24,3.8,2.2,3.6,3.2,3,2.2,3.2,1.8,2.6,1,2.6,1
25,3,3.8,3.6,2.8,3.4,3.2,3,1.4,2.6,1,2.4,1
26,3.6,3.2,3.6,3,2.4,2.6,2.8,1.2,2.8,1,2.8,1
27,3,3.4,3.8,3,3.2,2.8,2.8,1.6,2.6,1.2,2.2,1
28,3.4,3,3.8,2.8,3,1.8,3,1.2,2.4,1,1.8,1
29,3.2,1.6,3.4,3.4,3.4,2.2,3.4,1.6,2.4,1,2.2,1
30,3.6,3.4,3.2,3.4,3.2,3.4,3.4,1.6,2.8,1,2.4,1
