Trial Number,Hour 0.5 Male Means,Hour 0.5 Female Means,Hour 1 Male Means,Hour 1 Female Means,Hour 1.5 Male Means,Hour 1.5 Female Means,Hour 2 Male Means,Hour 2 Female Means,Hour 2.5 Male Means,Hour 2.5 Female Means,Hour 3 Male Means,Hour 3 Female Means
1,2.5,2.2,3.75,3,3.75,1.8,2.75,2.2,2.75,1,3.5,1.6
2,3.25,2.8,,2.6,3.25,1.6,2.25,1.4,1.5,1,2.75,1.4
3,2.5,2.2,3.5,3,3.25,1,2,1.8,2.25,1.2,3.25,1.2
4,3.5,2.4,3.5,2.8,3.25,1.6,2.5,1.6,2.25,1.4,2.75,1
5,3.5,3.2,3.5,1.6,2.5,2.2,3.25,1.8,2,,2,1.2
6,2.75,3.2,3.25,2.6,2.25,1.4,3,1.6,1,1.2,2.25,1.6
7,3.5,2.6,3.75,1.8,3.75,1.8,3.75,1.8,3,1.8,2.25,1.2
8,3.25,2.2,2.75,1.8,3,1.4,1.5,2.2,1.75,1.2,3,1.6
9,3.5,3,3.25,2.4,3,1.4,2.75,2,3.25,1.2,2.5,1.8
10,2.75,2.2,3,1.8,2.75,1.4,2.25,1.2,2.25,1.4,1.5,1
11,3,1.6,3.25,2.2,3,1.6,2.5,1.2,1.5,1.2,2,1.2
12,1.75,2.6,2.75,2.8,3.75,1.8,3.25,1.2,2,1,2.25,1.2
13,2,2.2,3,2.2,3.5,2,2.75,1.6,2.75,1,3,1
14,3,3.4,2.75,2.2,3,1.8,3,1.6,2,1.2,1,1.6
15,2.75,2.4,4,2.4,3.75,1.8,2.75,1,2.5,1.2,2.5,1.4
16,2.5,2.8,3.25,2,2.5,1.8,3,1.4,2,1.2,1.5,1.4
17,3,3.6,2.25,1.6,2.75,1.8,3.25,1.8,2.25,1.2,2.5,1.4
18,3.5,2.6,3.75,2,2.5,1,3,1.8,3,1.4,2,1.2
19,3,1.6,2.75,2.2,3.75,2,2.5,1.4,2.5,1.2,1.25,1.8
20,3.75,2,4,1.6,2.75,1.8,3,1.4,3.75,1.2,2,1.2
21,3,2,3,1.8,2.75,1.8,3,1.2,3.5,1,1.5,1.2
22,2.75,1.8,2.25,2,2.5,1.6,2.75,1.2,2.25,1.2,1.5,1.2
23,2.5,3,3,1.2,2.5,1.2,2.75,1.6,3.5,1.2,2,1.8
24,2.5,3,3,1.4,2.75,1.6,2.25,2,2,1.2,1.75,1
25,3.25,3,3.25,1.6,2.5,2,2.25,1.4,2.75,1,1.5,1.8
26,3,2.8,3.5,1.8,1.5,2,1.75,1.4,3,1.2,2.25,1.6
27,3.5,3,3.5,1.8,2.25,1.2,2,1.4,1.25,1,3.25,1.2
28,4,3,4,1.2,2.25,2,1.25,1.4,2,1,3,1.6
29,3.5,2.8,3.5,1.2,3.25,2.2,2.25,1.6,2.75,1,1.75,1.8
30,3.5,2.8,2.75,1,2.75,1.6,2.25,1.4,2.25,1.4,2.25,1.8
